1.0000E+00	1.0262E-02
4.0000E+00	1.0558E-02
7.0000E+00	1.0869E-02
1.0000E+01	1.1237E-02
1.3000E+01	1.1614E-02
1.6000E+01	1.2080E-02
1.9000E+01	1.2574E-02
2.2000E+01	1.3065E-02
2.5000E+01	1.3536E-02
2.8000E+01	1.4000E-02
3.1000E+01	1.4455E-02
3.4000E+01	1.5011E-02
3.7000E+01	1.5689E-02
4.0000E+01	1.6420E-02
4.3000E+01	1.7195E-02
4.6000E+01	1.8060E-02
4.9000E+01	1.9013E-02
5.2000E+01	2.0160E-02
5.5000E+01	2.1401E-02
5.8000E+01	2.2874E-02
6.1000E+01	2.4444E-02
6.4000E+01	2.6171E-02
6.7000E+01	2.8220E-02
7.0000E+01	3.0910E-02
7.3000E+01	3.4090E-02
7.6000E+01	3.7603E-02
7.9000E+01	4.2158E-02
8.2000E+01	4.7339E-02
8.5000E+01	5.3441E-02
8.8000E+01	6.0710E-02
9.1000E+01	7.2053E-02
9.4000E+01	8.4572E-02
9.7000E+01	9.8450E-02
1.0000E+02	1.1644E-01
5.0000E+00	1.0162E-02
1.0000E+01	1.0176E-02
1.5000E+01	1.0216E-02
2.0000E+01	1.0287E-02
2.5000E+01	1.0353E-02
3.0000E+01	1.0417E-02
3.5000E+01	1.0493E-02
4.0000E+01	1.0589E-02
4.5000E+01	1.0695E-02
5.0000E+01	1.0800E-02
5.5000E+01	1.0918E-02
6.0000E+01	1.1066E-02
6.5000E+01	1.1234E-02
7.0000E+01	1.1428E-02
7.5000E+01	1.1641E-02
8.0000E+01	1.1867E-02
8.5000E+01	1.2129E-02
9.0000E+01	1.2427E-02
9.5000E+01	1.2766E-02
